"","Year","Area","Street","Street 2"
"1",2011,"Birmingham","Acocks Gr.",""
"2",2011,"Birmingham","Adderly Str.",""
"3",2011,"Birmingham","Alcester Raod Mosley",""
"4",2011,"Birmingham","Alcester Rd.",""
"5",2011,"Birmingham","Alcester Rd. Moseley",""
"6",2011,"Birmingham","Alcester Rd. Moseley",""
"7",2011,"Birmingham","Alfred Str.",""
"8",2011,"Birmingham","All Service Club Mosley",""
"9",2011,"Birmingham","Alum Rock Rd.",""
"10",2011,"Birmingham","Alum Rock Rd.",""
"11",2011,"Birmingham","Alum Rock Rd.",""
"12",2011,"Birmingham","Alum Rock Rd.",""
"13",2011,"Birmingham","Arcadian Centre",""
"14",2011,"Birmingham","Arden Rd. Saltley",""
"15",2011,"Birmingham","Asda Chemsley Wood",""
"16",2011,"Birmingham","Balsahll Heath Pk. J W Brighton Rd.",""
"17",2011,"Birmingham","Bamford Rd.",""
"18",2011,"Birmingham","Bamford Rd.",""
"19",2011,"Birmingham","BeechBrook Ave. Sparkhill",""
"20",2011,"Birmingham","Belchers Lan.",""
"21",2011,"Birmingham","Belchers Lan.",""
"22",2011,"Birmingham","Belchers Lan.",""
"23",2011,"Birmingham","Belchers Lan. Bordesley Gr.",""
"24",2011,"Birmingham","Bell Str.",""
"25",2011,"Birmingham","Berkley Rd East Haymills",""
"26",2011,"Birmingham","Birmingham Airport",""
"27",2011,"Birmingham","Birmingham International Railway Station",""
"28",2011,"Birmingham","Bordesley Gr.",""
"29",2011,"Birmingham","Bordesley Gr. Bordesley Gr.",""
"30",2011,"Birmingham","Bristol Rd.",""
"31",2011,"Birmingham","Bristol Str.",""
"32",2011,"Birmingham","Broad Str.",""
"33",2011,"Birmingham","Broad Str.",""
"34",2011,"Birmingham","Broad Str. Birmingham",""
"35",2011,"Birmingham","Buckland End Lan. Shard End",""
"36",2011,"Birmingham","Bulls Head PH St Marys Row",""
"37",2011,"Birmingham","Bushbury Rd. Kitts Gr.",""
"38",2011,"Birmingham","Chartice Rd.",""
"39",2011,"Birmingham","Chestnut Rd.",""
"40",2011,"Birmingham","Church Rd Stechford",""
"41",2011,"Birmingham","Church Rd. Sheldon",""
"42",2011,"Birmingham","Clifford RD Dorridge",""
"43",2011,"Birmingham","Clock Lan.",""
"44",2011,"Birmingham","Colonial Rd. Bordesley Gr.",""
"45",2011,"Birmingham","Corporation St Birmingham",""
"46",2011,"Birmingham","Corporation Str.",""
"47",2011,"Birmingham","Coventry Rd Small Heath",""
"48",2011,"Birmingham","COVENTRY RD SMALL HEATH BHAM",""
